TXNAME,GENEID
XM_026443995,LOC727399
XM_026443999,LOC727399
XM_016914585,LOC107965102
XM_026442847,LOC726810
XM_026442853,LOC726810
XM_016917958,LOC552366
XM_006560271,LOC412017
XM_026443482,LOC412017
XR_001702295,LOC102656720
XR_003304210,LOC102656720
XR_408870,LOC102656333
XM_026446261,LOC100577895
XR_003306099,LOC100578042
XM_026445217,LOC100578042
XR_003305305,LOC102654856
XR_409142,LOC102655012
XR_003305308,LOC102656903
XR_003305303,LOC102656828
XR_003305304,LOC102656828
XR_001704391,LOC107965033
XR_003305306,LOC107965033
XR_003305307,LOC113218984
XM_006561912,LOC724233
XM_006561913,LOC408619
XM_392160,LOC408619
XM_026445754,LOC408619
XM_006561914,LOC102653658
XM_392162,LOC408621
XM_395780,LOC412319
XM_006561916,LOC412319
XM_006561915,LOC412319
XM_026442581,LOC412319
XR_003304851,LOC113218842
XM_016911157,LOC102653954
XR_409250,LOC102653954
XR_409251,LOC102653954
XM_006561918,LOC102653920
XR_001702356,LOC107964158
XM_001120612,LOC724720
XM_001120697,LOC724795
NM_001040264,GeneID_551388
XM_026441293,LOC414017
XM_026441285,LOC414017
XM_026441289,LOC414017
XR_003305417,LOC552530
XR_003305418,LOC552530
XM_026443160,LOC552530
XR_003305406,LOC552530
XR_003305404,LOC552530
XM_026443149,LOC552530
XM_026443148,LOC552530
XM_026443146,LOC552530
XM_026443162,LOC552530
XM_026443157,LOC552530
XM_006561922,LOC100577342
XM_396690,LOC413244
XM_006561924,LOC413244
XM_026443501,LOC551531
XM_003249940,LOC100578513
XM_016917879,LOC100577369
XM_003249936,LOC100577369
XM_624227,LOC551842
XR_003306171,LOC551842
XM_006561927,LOC551892
XM_624278,LOC551892
XM_006561928,LOC551892
XM_026445633,LOC107963991
XM_026445632,LOC107963991
XM_393087,LOC409584
XM_396881,LOC413437
XM_006561937,LOC552602
XM_006561930,LOC414037
XM_016917793,LOC414037
XM_016917794,LOC414037
XM_006561931,LOC414037
XM_397473,LOC414037
XM_006561936,LOC414037
XM_006561934,LOC414037
XM_006561935,LOC414037
XM_001121177,LOC725317
XM_006561940,LOC725317
XM_006561941,LOC413950
XM_006561942,LOC413950
XM_026442425,LOC107963979
XR_409257,LOC102655724
XR_409256,LOC102655724
XM_001121365,LOC725532
XM_006561946,LOC725532
XR_003306334,LOC100578104
XR_003305370,LOC100578131
XM_006561949,LOC552676
XM_026441180,LOC552676
XM_006561955,LOC725720
XM_006561954,LOC725720
XM_006561956,LOC102656395
XM_395605,LOC412141
XM_001123187,LOC727479
XM_006562510,LOC727479
XM_006562512,LOC727479
XM_006562513,LOC727479
XM_006562516,LOC727479
XM_026438946,LOC727479
XM_006562511,LOC727479
XM_006562515,LOC727479
XM_026441936,LOC413303
XM_026441934,LOC413303
XM_026441929,LOC413303
XM_026441937,LOC413303
XM_623804,LOC551411
XM_623179,LOC550789
XM_003250068,LOC725816
XR_409477,LOC102654549
XR_409475,LOC102654478
XR_001704122,LOC102654454
XR_003306501,LOC113219397
XR_409472,LOC102654413
XR_001704121,LOC102654358
XR_001704120,LOC102654358
XR_409469,LOC102654358
XR_003306495,LOC100577822
XR_003306496,LOC100577822
XR_003306494,LOC100577822
XR_003306500,LOC100577822
XR_003306493,LOC100577822
XR_003306497,LOC100577822
XR_003306498,LOC100577822
XR_003306499,LOC100577822
XR_409462,LOC100577822
XR_409463,LOC100577822
XM_026446056,LOC102654894
XR_003304786,LOC113218819
XM_006562537,LOC409517
XM_394229,LOC410753
XM_026442974,LOC100578445
XM_026442966,LOC100578445
XM_026442970,LOC100578445
XM_006562544,LOC410752
XM_016914045,LOC410752
XM_006562547,LOC410752
XM_016914051,LOC410752
XM_394227,LOC410751
XR_001704253,LOC107964984
XR_001706443,LOC100577782
XR_003304162,LOC100577782
XM_026442534,LOC102655057
XM_016917891,LOC412523
XR_003305010,LOC113218896
XM_001120404,LOC726221
XM_393529,LOC410043
XM_006562775,LOC410043
XM_006562770,LOC409468
XM_006562764,LOC409468
XM_006562765,LOC409468
XM_006562766,LOC409468
XM_006562767,LOC409468
XM_016916096,LOC409468
XM_016916121,LOC409468
XM_006562769,LOC409468
XM_016916134,LOC409468
XM_006562768,LOC409468
XM_016916130,LOC409468
XM_026446271,LOC409468
XM_016916137,LOC409468
XM_006562758,LOC552636
XM_026444380,LOC552636
XM_026444383,LOC552636
XM_001120202,LOC726088
XM_006562757,LOC726088
XR_409676,LOC100578115
XM_392932,LOC409417
XM_026446341,LOC727596
XM_006563296,LOC727596
NM_001011636,GeneID_409798
XR_003306123,LOC100577977
XR_003306122,LOC100577977
XM_016912812,LOC100577977
XM_026445343,LOC100577977
XR_001703514,LOC102656214
XM_026445345,LOC410034
XM_026440705,LOC410033
XM_006563288,LOC410033
NM_001178025,GeneID_410032
NM_001178026,GeneID_410032
XM_006563201,GeneID_410032
XM_026446264,LOC413693
XM_006563283,LOC411794
XM_006563281,LOC102655540
XM_395652,LOC412189
XR_409655,LOC102655045
XM_026444966,LOC102655391
XR_001703451,LOC102655431
XR_003306121,LOC102655431
XR_003306113,LOC102655431
XM_394882,LOC411408
XM_026445103,LOC411408
XM_394880,LOC411406
XM_003250183,LOC411406
XR_001703380,LOC107964593
XR_003305083,LOC107964593
XR_003305084,LOC107964593
XM_006563204,GeneID_725384
NM_001134943,GeneID_725384
XM_006563261,LOC725345
XM_026439185,GeneID_406080
NM_001134940,GeneID_406080
NM_001134942,GeneID_100188973
XM_026444929,LOC725455
XM_623339,LOC550785
XM_006563260,LOC550785
XM_026439889,LOC100576291
XM_026439890,LOC100576291
XM_026439887,LOC100576291
XM_026439875,LOC100576291
XM_026439892,LOC100576291
XM_026439894,LOC100576291
XM_026439880,LOC100576291
XM_026439891,LOC100576291
XM_016912484,LOC100576291
XM_016912486,LOC100576291
XR_003304493,LOC100578458
XR_003304495,LOC100578458
XR_003304497,LOC100578458
XR_003304502,LOC100578458
XM_006563258,LOC411600
XR_003304492,LOC113218708
XM_394225,LOC410749
XR_120124,LOC100578378
XM_624418,LOC552038
XM_395748,LOC412287
XM_006563252,LOC412287
XM_016912534,LOC412287
XM_624691,LOC552316
XM_394846,LOC411372
XM_026446265,LOC725945
XM_026446133,LOC552206
XM_026446132,LOC552206
XM_006563246,LOC552187
XR_003306515,LOC113219400
XR_120122,LOC100578285
XR_003306471,LOC113219388
XM_016911869,LOC409807
XM_016911875,LOC409807
XM_026446015,LOC409807
XM_026446016,LOC409807
XR_001702809,LOC107964341
XR_003306472,LOC107964341
XR_003306474,LOC113219389
XR_003306473,LOC113219389
XM_006563203,LOC503505
NM_001012429,LOC503505
XR_003306476,LOC107964344
XM_624497,LOC552117
XR_409612,LOC100576164
XM_026445921,LOC414021
XM_006563243,LOC414021
XM_026445912,LOC414021
XR_412473,LOC102654917
XM_006563239,LOC414021
XM_006563240,LOC414021
XM_016913868,LOC414021
XM_026445884,LOC414021
XM_026445894,LOC414021
XM_026445899,LOC414021
XM_026445906,LOC414021
XM_026445916,LOC414021
XM_026445924,LOC414021
XM_016913893,LOC414021
XM_006563235,LOC414022
XM_006563236,LOC414022
XM_026439522,LOC410070
XM_393558,LOC410071
XM_026441166,LOC113218825
XM_026441163,LOC113218825
XM_026441156,LOC100577039
XM_026441158,LOC100577039
XM_026443298,LOC412458
XM_001120613,LOC724721
XM_006563227,LOC412829
XM_396281,LOC412829
XM_016913321,LOC412829
XM_623093,LOC409360
XM_016913299,LOC409360
XM_016913285,LOC409360
XM_016913284,LOC409360
XM_006563225,LOC409360
XM_026446266,LOC412546
XM_006563220,LOC412212
XM_006563215,LOC413868
XM_624383,LOC552001
XM_006563213,LOC413867
XM_624431,LOC552052
XM_001122793,LOC727079
XM_395937,LOC412480
XM_623549,LOC551154
XM_026444283,LOC724234
XM_001120149,LOC724328
XM_026446083,LOC100577254
XM_026446080,LOC100577254
XM_026446081,LOC100577254
XM_026446082,LOC100577254
XM_026446084,LOC100577254
XM_026446085,LOC100577254
XM_026446086,LOC100577254
XM_026446087,LOC100577254
XM_026446088,LOC100577254
XM_026446089,LOC100577254
XM_026446090,LOC100577254
XM_026446091,LOC100577254
XM_026446092,LOC100577254
XM_026446093,LOC100577254
XM_026446094,LOC100577254
XM_026446095,LOC100577254
XM_026446096,LOC100577254
XM_026446098,LOC100577254
XM_026446099,LOC100577254
XM_026446100,LOC100577254
XM_026446097,LOC100577254
XM_026446079,LOC100577254
XM_026446077,LOC100577254
XM_026446078,LOC100577254
XM_016912447,LOC100577254
XM_026446072,LOC100577254
XM_026446073,LOC100577254
XM_026446076,LOC100577254
XM_026446075,LOC100577254
XM_026446074,LOC100577254
XM_006564975,LOC100577254
XR_001705738,LOC100577384
XM_006564988,LOC726243
XM_006564986,LOC726243
XM_006564987,LOC726243
XR_003306160,LOC113219271
XR_001702581,LOC107964221
XR_410105,LOC102656636
XR_003304383,LOC102656814
XR_003304382,LOC102656814
XR_410109,LOC102656788
XR_003304386,LOC100578082
XM_006564995,LOC551384
XM_623779,LOC551384
XM_397252,LOC413813
XM_016917903,LOC726412
XM_006565282,LOC726412
XM_006565281,LOC726412
XM_026446267,LOC413056
XM_001122183,LOC726451
XM_396506,LOC413055
XM_006565296,LOC410740
XM_394216,LOC410740
XM_006565295,LOC410740
NR_039463,GeneID_100629012
GeneID_100629012_t1,GeneID_100629012
XM_001122272,LOC726545
XM_001122287,LOC726560
XM_001122304,LOC726578
XM_026446270,LOC726590
XM_026440425,LOC726646
XM_396869,LOC413425
XM_026441958,LOC413425
XR_410161,LOC102656327
XR_003305774,LOC102656327
XR_003305775,LOC102656453
XR_001702282,LOC102656426
XM_006565301,LOC100577481
XM_026440364,LOC413754
XM_026440381,LOC413754
XM_026440390,LOC413754
XM_026440374,LOC413754
XM_001122450,LOC726729
XM_016914689,LOC408604
XM_016914695,LOC408604
XM_006565319,LOC100577003
XM_003250569,LOC100577003
XM_006565322,LOC100577003
XM_006565320,LOC100577003
XM_006565321,LOC100577003
XM_026446028,LOC102653957
XM_016914732,LOC102653957
XM_006565311,LOC100577082
XM_026446021,LOC100577082
XM_026446019,LOC100577082
XR_003306478,LOC113219392
XM_026444045,LOC408602
XM_026444047,LOC408602
XM_026444016,LOC408602
XM_026444029,LOC408602
XM_026444019,LOC408602
XM_006567937,LOC408602
XM_006567940,LOC408602
XM_026444074,LOC113219140
XM_006567938,LOC408602
XM_006567939,LOC408602
XM_006567941,LOC408601
XR_003305621,LOC113219089
XR_003305617,LOC102653666
XR_001704578,LOC102653639
XR_001704573,LOC102653841
XR_003305619,LOC102653841
XM_016917606,LOC102656489
XR_001706312,LOC102656489
XM_026446274,LOC107966074
XM_026443404,LOC412410
XM_026443398,LOC412410
XM_395867,LOC412410
XM_006568140,LOC412410
XM_001122973,LOC727263
XM_026442927,LOC113219001
XM_623939,LOC551546
XM_392639,LOC409114
XM_395044,LOC411573
XM_006568124,LOC411573
XM_006568126,LOC411573
XM_006568123,LOC409340
XM_623090,LOC409340
XM_026441352,LOC102654365
XM_026441345,LOC102654365
XM_026441346,LOC102654365
XM_026441350,LOC102654365
XM_006568119,LOC412114
XM_001122237,LOC726505
XM_016917743,LOC413357
XM_396802,LOC413357
XM_016917223,LOC107963982
XM_016917232,LOC107963982
XM_016917234,LOC107963982
XM_016917239,LOC107963982
XM_016917226,LOC107963982
XM_016917228,LOC107963982
XM_016917229,LOC107963982
XM_006568106,LOC551728
XM_624116,LOC551728
XM_396915,LOC413471
XM_396914,LOC413470
NR_127340,GeneID_104794356
GeneID_104794356_t1,GeneID_104794356
XM_003251133,LOC413467
XM_016912146,LOC413467
XM_006568098,LOC413467
XM_006568099,LOC413467
XM_006568100,LOC413467
XM_393109,LOC409606
XM_006568103,LOC409606
XM_006568101,LOC409606
XM_006568102,LOC409606
XM_393110,LOC409607
XM_026446245,LOC409608
XM_026446246,LOC409608
XM_026446244,LOC409608
XM_026446275,LOC102655493
XM_026446276,LOC102655249
XM_016917010,LOC412813
XM_026441042,LOC412813
XM_016916998,LOC412813
XM_016917021,LOC412813
XM_016917025,LOC412813
XM_016917027,LOC412813
XM_016917039,LOC412813
XM_026441059,LOC412813
XM_026441067,LOC412813
XM_026441055,LOC412813
XM_016917015,LOC412813
XM_026441085,LOC412813
XM_026441086,LOC412813
XM_016917032,LOC412813
NM_001143921,GeneID_409042
XM_006568495,GeneID_409042
XM_026439655,GeneID_409042
XM_016914622,LOC408600
XR_003306539,LOC107964080
XR_003306540,LOC113219409
XM_026446293,LOC408598
XM_026446294,LOC408598
XM_026446295,LOC408598
XM_026446297,LOC408598
XM_026446292,LOC102656618
XM_392139,LOC408597
XM_016917805,LOC408597
XM_006568551,LOC408597
XM_623673,LOC410729
XM_006568553,LOC725576
XM_006568552,LOC725576
XM_006568554,LOC725576
XM_001121399,LOC725576
XM_026444655,LOC552761
XM_026444654,LOC552761
XM_026440863,LOC551385
XM_001121500,LOC725683
XM_006568558,LOC725683
XM_006568559,LOC725683
XM_026446339,LOC113219418
XM_006568565,LOC100578653
XM_006568566,LOC100578653
XM_006568568,LOC413713
XM_393599,LOC410115
XM_006568570,LOC102654555
XM_006568571,LOC102654555
XM_624322,LOC551939
XM_006568581,LOC413080
XM_006568582,LOC413080
XM_006568577,LOC413081
XM_006568578,LOC413081
XM_006568579,LOC413081
XM_624203,LOC551818
XM_006568591,LOC412164
XM_395627,LOC412164
XM_006568593,LOC100576871
XR_411252,LOC100576871
XM_026444128,LOC100576871
XM_393070,LOC409564
XM_006568597,LOC409564
XM_001120657,LOC724760
XM_006568598,LOC724760
XM_026443192,LOC552549
XM_026443195,LOC552549
XM_026443198,LOC552549
XM_026443221,LOC412343
XM_016913226,LOC412343
XM_395804,LOC412343
XM_623796,LOC409102
XM_006568605,LOC409102
XM_006568603,LOC409102
XM_006568604,LOC409102
XM_006568606,LOC102656283
XM_016913212,LOC409102
XM_026443207,LOC409102
XM_026446131,LOC725105
XM_006568616,LOC725105
XM_026446129,LOC725105
XR_003306514,LOC725105
XM_026446130,LOC725105
XM_016913778,LOC410061
XM_006568607,LOC410061
XM_006568612,LOC410061
XM_016913791,LOC410061
XM_026446123,LOC410061
XM_026446124,LOC410061
XM_026446125,LOC410061
XM_026446126,LOC410061
XM_026446127,LOC410061
XM_026446128,LOC410061
XM_001121110,LOC725237
XM_026440147,LOC406118
XM_026440154,LOC406118
XM_026440153,LOC406118
XM_026440159,LOC406118
XM_006568626,LOC408592
XM_006568627,LOC408592
XM_006568625,LOC408592
XM_001121331,LOC725494
XM_006568639,LOC410727
XM_394204,LOC410727
XM_026441669,LOC100578300
XM_026441671,LOC100578300
XM_006568646,LOC100578300
XM_006568647,LOC100578300
XM_001121619,LOC725817
XM_016912405,LOC107964507
XR_411593,LOC102656318
XR_003306078,LOC107964511
XM_624519,LOC552140
XM_016912388,LOC107964502
XM_006569633,LOC725848
XM_625274,LOC552067
XM_016915453,LOC726060
XR_411576,LOC100578016
XR_120493,LOC100578016
XR_001705583,LOC100578016
XM_006569612,LOC100578133
XR_411584,LOC100578133
XR_001705577,LOC100578133
XR_411585,LOC100578133
XR_003306546,LOC100578133
XR_001705587,LOC107965530
XR_001705584,LOC100577891
XM_006569604,LOC550948
XM_006569599,LOC408590
XM_006569600,LOC408590
XM_016917854,LOC408590
XM_392132,LOC408590
XR_001705682,LOC100577336
XR_003305551,LOC100577336
XR_001705688,LOC100577336
XM_006569597,LOC100577296
XM_003251370,LOC100577296
XM_006569589,LOC100577140
XM_003251369,LOC100577140
XR_003305554,LOC102656816
XR_001705785,LOC102656816
XR_001705792,LOC102653642
XR_003305556,LOC102653642
XR_003305558,LOC113219066
XR_003305874,LOC102656752
XR_003305878,LOC102656752
XM_016917174,LOC409546
XM_026439404,LOC409546
XM_026443912,LOC726223
XM_624003,LOC551612
XM_016917807,LOC551612
XM_001121102,LOC725225
XM_006569562,LOC100576131
XM_006569561,LOC412112
XM_006569560,LOC412112
XM_003251365,LOC100579052
XM_026441370,LOC724620
XM_623503,LOC551107
XM_026446148,LOC726944
XM_026446146,LOC726944
XM_026446152,LOC726944
XM_026446151,LOC726944
XM_026446149,LOC726944
XM_026446150,LOC726944
XM_016916234,LOC726918
XM_392604,LOC409079
XM_006569546,LOC727390
XM_006569544,LOC727390
XM_026444875,LOC727390
XM_006569547,LOC727390
XM_006569548,LOC727390
XM_006569543,LOC412495
XM_624085,LOC412495
XM_006569538,LOC727396
XM_006569540,LOC727396
XM_016917437,LOC412721
XM_026443242,LOC412721
XM_016917440,LOC412721
XM_001119899,LOC724678
XM_006569530,LOC552473
XM_624846,LOC552473
XM_006569531,LOC552473
XM_026446057,LOC552497
XM_026446059,LOC552497
XM_026446058,LOC552497
XM_026446060,LOC552497
XM_026446061,LOC551976
XM_016915682,LOC551976
XM_026446063,LOC551976
XM_026446062,LOC551976
XM_026446064,LOC551976
XM_016915683,LOC551976
XM_006569993,LOC412636
XM_396091,LOC412636
XM_006569992,LOC412636
XM_006569991,LOC412636
XM_026446065,LOC726667
XM_026446066,LOC726667
XM_001122415,LOC726694
XM_026443608,LOC726694
XM_026441539,LOC726722
NR_039465,GeneID_100629014
GeneID_100629014_t1,GeneID_100629014
XM_026446256,LOC113219403
XM_006570003,LOC726743
XR_003306102,LOC113219248
XR_003306101,LOC113219247
XM_026446300,LOC107965313
XR_003306541,LOC107965313
XR_003306542,LOC107965313
XM_392626,LOC409100
XM_026446299,LOC726824
XM_395686,LOC412224
XM_026444953,LOC412224
XM_016915342,LOC412224
XM_016914634,LOC409093
XM_016914635,LOC409093
XM_016914636,LOC409093
XM_006570018,LOC409093
XM_006570020,LOC409093
XM_006570021,LOC409093
XM_016914645,LOC409093
XM_016914646,LOC409093
XM_006570019,LOC409093
XM_016914652,LOC409093
XM_016914654,LOC409093
XM_026444957,LOC409093
XM_026445009,LOC113219225
XM_026444994,LOC100577425
XM_392990,LOC409481
XM_003251455,LOC409481
XR_001703063,LOC100578657
XR_001703069,LOC100578657
XM_393520,LOC410035
XM_016912321,LOC410035
XM_006570030,LOC410035
XM_006570026,LOC410035
XM_006570029,LOC410035
XM_026442353,LOC410035
XM_006570031,LOC410035
XM_006570028,LOC410035
XM_006570033,LOC413677
XM_397118,LOC413677
XM_006570032,LOC413677
XM_006570034,LOC413677
XM_006570035,LOC413677
XR_411741,LOC102655933
XM_006570036,LOC413677
XM_006570037,LOC413677
XM_026442384,LOC413677
XM_006570038,LOC413677
XM_006570049,LOC409401
XM_006570055,LOC409401
XM_006570063,LOC409401
XM_623389,LOC409401
XM_006570067,LOC409401
XM_006570047,LOC409401
XM_016917817,LOC409401
XM_016917819,LOC409401
XM_006570050,LOC409401
XM_006570064,LOC409401
XM_026441579,LOC409401
XM_016917818,LOC409401
XM_006570046,LOC409401
XM_006570048,LOC409401
XM_006570051,LOC409401
XM_006570052,LOC409401
XM_006570053,LOC409401
XM_006570054,LOC409401
XM_006570059,LOC409401
XM_006570060,LOC409401
XM_006570061,LOC409401
XM_006570062,LOC409401
XM_006570065,LOC409401
XM_006570066,LOC409401
XM_006570058,LOC409401
XM_623113,LOC409401
XM_026444438,LOC551705
XM_006570068,LOC551705
XM_624094,LOC551705
XM_393076,LOC409571
XR_001705753,LOC107965622
XM_624118,LOC551730
XM_006570071,LOC724235
XM_006570072,LOC724235
XM_006570077,LOC724235
XM_026446220,LOC724235
XM_026446221,LOC724235
XM_026446222,LOC724235
XM_006570076,LOC724235
XM_016915735,LOC724235
XM_026446223,LOC724235
XM_026446224,LOC724235
XM_026446020,LOC724495
XM_026446018,LOC724495
XM_026446032,LOC724495
XM_026446027,LOC724495
XM_006570080,LOC724495
XM_006570081,LOC724495
XM_026446030,LOC724495
XM_026446010,LOC724495
XM_026446014,LOC724495
XM_001120526,LOC724635
XM_006570089,LOC724680
XM_026445859,LOC724680
XM_026445868,LOC113219319
XM_001119937,LOC724625
XM_026445848,LOC102655422
XM_026445869,LOC113219320
XM_016912986,LOC552040
XM_016912994,LOC552040
XM_016912998,LOC552040
XM_006570093,LOC552040
XM_624420,LOC552040
XM_026440831,LOC113218781
XM_006570107,LOC409717
XM_393215,LOC409717
XM_006570105,LOC409717
XM_006570100,LOC409717
XM_006570102,LOC409717
XM_006570103,LOC409717
XM_006570108,LOC409717
XM_016912953,LOC409717
XM_006570101,LOC409717
XM_006570106,LOC409717
XM_624474,LOC552095
XR_411753,LOC409259
XM_397552,LOC409259
XM_624545,LOC552166
XR_001706450,LOC102656191
XM_026441938,LOC725190
XM_001121064,LOC725190
XR_003304346,LOC113218632
XM_016914831,LOC552229
XM_026444710,LOC107965163
XM_006570114,LOC100576446
XM_016914817,LOC100576446
XM_006570113,LOC100576446
XM_006570115,LOC102656491
XM_006570116,LOC726920
XM_006570119,LOC102656669
XM_006570120,LOC102656669
XR_001705202,LOC107965347
XM_396685,LOC413239
XM_393236,LOC409739
XM_026446189,LOC100576586
XM_026446192,LOC100576586
XM_026446190,LOC100576586
XM_026446191,LOC100576586
XM_026445379,LOC410718
XM_016913622,LOC410718
XM_026445373,LOC410718
XM_026445384,LOC410718
XM_026445387,LOC410718
XR_003306552,LOC113219423
XR_001704023,LOC102654265
XM_016913580,LOC107964845
XM_016917909,LOC725489
XM_016917911,LOC725489
XM_016917906,LOC725489
XM_016917907,LOC725489
XR_411779,LOC102654797
XM_026440286,LOC100578389
XM_026440297,LOC100578389
XM_016917836,LOC100578389
XM_026440267,LOC100578389
XM_026440269,LOC100578389
XM_026440273,LOC100578389
XM_026440264,LOC100578389
XM_026440278,LOC100578389
XM_006570574,LOC107963975
XM_006570570,LOC102654405
XM_003251541,LOC100578347
XM_026446170,LOC100577905
XM_026446171,LOC100577905
XM_026446172,LOC100577905
XM_001119897,LOC724326
XM_006572227,LOC411976
XM_624825,LOC411976
XM_016917456,LOC411976
XM_006572230,LOC411976
XM_016917455,LOC411976
XM_006572229,LOC411976
XM_026446185,LOC726238
XM_026446180,LOC726238
XM_026446181,LOC726238
XM_026446184,LOC726238
XM_026446178,LOC726238
XM_026446179,LOC726238
XM_026446182,LOC726238
XM_392816,LOC409298
